"code","description","domain","grade","keywords","prerequisite","scope","level_A","level_B","level_C","level_D","level_E","competencies","common_misconceptions"
"[9역01-01]","역사와 역사 탐구의 의미를 파악하고, 역사 학습의 목적을 다각도로 탐색한다.","역사학습의 기초","중학교","","","","역사의 의미와 역사 탐구의 의미를 파악하고, 다양한 역사 학습의 목적이 공존함을 다각도로 찾아, 자신이 생각하는 역사의 의미와 역사 학습의 목적을 표현할 수 있다.","역사의 의미와 역사 탐구의 의미를 파악하고, 다양한 역사 학습의 목적이 공존함을 다각도로 찾을 수 있다.","역사의 의미와 역사 탐구의 의미를 파악하고, 다양한 역사 학습의 목적이 공존함을 이해할 수 있다.","역사의 의미를 파악하고, 역사 학습의 목적을 제시할 수 있다.","역사의 의미를 파악할 수 있다.","",""
"[9역01-02]","다양한 자료와 사례를 통해 역사 탐구 방법을 익힌다.","역사학습의 기초","중학교","","","","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집, 분석, 해석하여 적절하고 타당한 근거에 기초한 역사 이해를 형성할 수 있다.","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집, 분석, 해석하여 역사 이해를 형성할 수 있다.","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집, 분석, 해석할 수 있다.","역사 탐구 주제에 적합하고 신뢰할 수 있는 자료를 다양하게 수집할 수 있다.","역사 탐구 주제에 적합한 자료를 수집할 수 있다.","",""
"[9역02-01]","선사 문화 및 문명의 형성을 이해하고, 각 문명의 특징을 비교한다.","문명의 발생과 고대 세계의 형성","중학교","","","","선사 문화와 문명 형성의 변화를 이해하고, 유적·유물·사료를 통해 각 문명의 공통점과 차이점을 추론할 수 있다.","선사 문화 및 문명의 형성 과정을 이해하고, 문명의 공통점을 사례를 들어 설명할 수 있다.","선사 문화와 문명의 형성 과정을 이해하고, 문명의 공통점을 나열할 수 있다.","선사 문화와 문명의 차이를 이해하고, 문명의 대표적 사례를 말할 수 있다.","선사 문화와 문명의 차이를 구분할 수 있다.","",""
"[9역02-02]","서아시아･ 지중해 세계에서 등장한 여러 정치체를 비교하고 종교 및 문화를 탐구한다.","문명의 발생과 고대 세계의 형성","중학교","","","","서아시아･지중해 세계에서 등장한 여러 정치체, 종교, 문화의 특징을 자료에 근거해 비교하고 그 역사적 맥락을 분석할 수 있다.","서아시아･지중해 세계에서 등장한 여러 정치체, 종교 및 문화의 사례를 통해 그 특징을 설명할 수 있다.","서아시아･지중해 세계에서 등장한 여러 정치체를 구분하고, 각 지역의 종교 및 문화를 연결할 수 있다.","서아시아･지중해 세계에서 등장한 여러 정치체와 종교 및 문화의 사례를 나열할 수 있다.","서아시아･지중해 세계에서 다양한 정치체와 종교･문화가 형성되었음을 말할 수 있다.","",""
"[9역02-03]","중국과 인도의 정치적 변화와 종교･사상 성립의 관계를 이해하고, 유라시아의 상호 교류를 탐색한다.","문명의 발생과 고대 세계의 형성","중학교","","","","중국과 인도의 정치적 변화와 종교･사상 성립의 관계를 이해하고, 유라시아의 상호 교류 양상을 자료를 통해 종합적으로 추론할 수 있다.","중국과 인도의 정치적 변화와 종교･사상 성립의 관계를 이해하고, 유라시아의 상호 교류 양상을 분석할 수 있다.","중국과 인도에서 진행된 정치적 변화와 종교･사상의 성립을 파악하고, 유라시아의 상호 교류 양상을 설명할 수 있다.","중국과 인도에서 진행된 정치적 변화와 종교･사상의 성립을 파악하고, 유라시아의 상호 교류 사례를 말할 수 있다.","중국과 인도에서 정치･종교･사상이 변화하고 유라시아 지역이 상호 교류하였음을 말할 수 있다.","",""
"[9역03-01]","수･당 시기 동아시아 국제 질서의 특징을 이해하고, 동아시아 문화를 탐구한다.","세계 종교의 확산과 지역 문화의 발전","중학교","","","","수･당 시기 동아시아 국제 질서의 특징을 역사적 맥락에서 이해하고, 동아시아 문화의 공통적 특징을 지역별 독자성을 자료를 통해 비교·분석·종합할 수 있다.","수･당 시기 동아시아 국제 질서의 특징을 이해하고, 동아시아 문화의 공통적 특징을 사례를 통해 설명할 수 있다.","수･당 시기 동아시아 국가들의 관계를 말하고, 동아시아 문화의 공통적 특징과 사례를 연결할 수 있다.","수･당 시기 동아시아 국가들을 나열하고, 동아시아 문화의 공통적 특징을 말할 수 있다.","수･당 시기 동아시아 문화에 공통적 특징이 존재했음을 말할 수 있다.","",""
"[9역03-02]","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징 및 영향을 파악한다.","세계 종교의 확산과 지역 문화의 발전","중학교","","","","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징을 연관 지어 이해하고 지역 문화가 형성된 역사적 맥락을 분석할 수 있다.","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징을 이해하고 지역문화 형성에 정치와 종교가 미친 영향을 설명할 수 있다.","인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징을 사례를 들어 설명할 수 있다.","인도, 서아시아, 지중해에서 진행된 정치적 변동과 각 종교의 특징을 구분할 수 있다.","인도, 서아시아, 지중해에서 정치적 변동이 일어나고 각 종교가 특징을 가지고 발달하였음을 말할 수 있다.","",""
"[9역03-03]","크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 탐구한다.","세계 종교의 확산과 지역 문화의 발전","중학교","","","","크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 자료에 기반해 맥락적으로 추론할 수 있다.","크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 설명할 수 있다.","크리스트교 세계의 정치와 종교가 밀접한 관계가 있었음을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류가 가져온 변화를 나열할 수 있다.","크리스트교 세계의 정치와 종교가 밀접한 관계가 있었음을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 사례를 말할 수 있다.","크리스트교 세계에서 정치와 종교가 서로 영향을 미치고 이슬람 세계와 크리스트교 세계가 상호작용했음을 말할 수 있다.","",""
"[9역04-01]","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장을 경제･문화 자료를 통해 탐구한다.","지역 세계의 교류와 변화","중학교","","","","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장 과정 및 결과를 경제･문화 자료의 분석･해석을 통해 종합적으로 추론할 수 있다.","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장 양상을 사례를 통해 설명할 수 있다.","송과 몽골 제국 시기 유라시아･인도양 교역권의 성장 양상을 제시할 수 있다.","송과 몽골 제국 시기 유라시아･인도양 교역의 사례를 말할 수 있다.","송과 몽골 제국 시기 유라시아와 인도양에서 교역이 활발했음을 말할 수 있다.","",""
"[9역04-02]","명･청, 에도 막부, 무굴 제국의 정치･사회 변화를 비교한다.","지역 세계의 교류와 변화","중학교","","","","명･청, 에도 막부, 무굴 제국의 정치･사회 변화에 대한 자료를 분석하고 그 특징을 비교할 수 있다.","명･청, 에도 막부, 무굴 제국 각국의 정치･사회 변화를 분석할 수 있다.","명･청, 에도 막부, 무굴 제국의 정치･사회 변화 사례를 국가별로 구분할 수 있다.","명･청, 에도 막부, 무굴 제국이 성립하고 변화했음을 제시할 수 있다.","명･청, 에도 막부, 무굴 제국이 각 지역에서 성장했음을 말할 수 있다.","",""
"[9역04-03]","오스만 제국의 성장과 유럽 사회의 근대적 변화를 조사한다.","지역 세계의 교류와 변화","중학교","","","","오스만 제국의 성장과 유럽 사회의 근대적 변화를 나타내는 자료를 수집, 분석하여 그 변화상을 역사적 맥락에서 설명할 수 있다.","오스만 제국의 성장과 유럽 사회의 근대적 변화를 자료를 통해 분석할 수 있다.","오스만 제국의 성장과 유럽 사회의 근대적 변화 양상을 제시할 수 있다.","오스만 제국의 성장과 유럽 사회의 근대적 변화의 사례를 말할 수 있다.","오스만 제국이 성장하고 유럽 사회가 근대적으로 변화했음을 말할 수 있다.","",""
"[9역05-01]","시민 혁명을 국민 국가 형성과 연결하여 파악하고, 역사적 의의와 한계를 탐구한다.","제국주의와 국민 국가 건설 운동","중학교","","","","시민 혁명을 국민 국가 형성과 연결하여 파악하고, 자료를 종합하여 역사적 의의와 한계를 추론할 수 있다.","시민 혁명을 국민 국가 형성과 연결하여 파악하고, 자료를 분석하여 역사적 의의와 한계를 체계적으로 설명할 수 있다.","시민 혁명과 국민 국가 형성 과정을 파악하고, 역사적 의의와 한계를 제시할 수 있다.","시민 혁명과 국민 국가 형성의 사례를 말할 수 있다.","시민 혁명이 일어나고 국민 국가가 형성되었음을 말할 수 있다.","",""
"[9역05-02]","서양의 산업화와 제국주의 정책을 이해하고, 사회와 생태환경에 미친 영향을 분석한다.","제국주의와 국민 국가 건설 운동","중학교","","","","서양의 산업화를 제국주의 정책과 연결하여 이해하고, 사회와 생태환경에 미친 영향에 대한 자료를 수집하여 분석할 수 있다.","서양의 산업화와 제국주의 정책을 이해하고, 사회와 생태환경에 미친 영향을 체계적으로 설명할 수 있다.","서양의 산업화와 제국주의 정책이 사회와 생태환경에 미친 영향을 파악할 수 있다.","서양의 산업화와 제국주의 정책이 사회와 생태환경에 미친 영향의 사례를 말할 수 있다.","서양의 산업화가 제국주의 열강의 침략으로 이어졌음을 말할 수 있다.","",""
"[9역05-03]","제국주의 열강의 침략에 대한 아시아의 대응 및 국민 국가 건설 노력을 이해하고, 그 성과와 한계를 평가한다.","제국주의와 국민 국가 건설 운동","중학교","","","","제국주의 열강의 침략에 대한 아시아의 대응 및 국민 국가 건설 노력을 비교하여 이해하고, 그 성과와 한계를 평가할 수 있다.","제국주의 열강의 침략에 대한 아시아의 대응 및 국민 국가 건설 노력을 이해하고, 그 성과와 한계를 체계적으로 설명할 수 있다.","제국주의 열강의 침략에 대한 아시아의 대응 및 국민 국가 건설 노력을 설명할 수 있다.","제국주의 열강의 침략에 대한 아시아의 대응 및 국민 국가 건설 노력의 사례를 말할 수 있다.","아시아 각국이 제국주의 열강의 침략에 대해 대응하였음을 말할 수 있다.","",""
"[9역06-01]","20세기 전반 세계 질서의 변화를 두 차례의 세계 대전을 중심으로 파악한다.","세계 대전과 사회 변동","중학교","","","","20세기 전반 세계 질서의 변화를 두 차례의 세계 대전이 일어난 배경과 세계 대전으로 인한 사회 변동 등을 중심으로 맥락적으로 파악할 수 있다.","20세기 전반 세계 질서의 변화를 두 차례의 세계 대전을 중심으로 자료에 근거하여 분석할 수 있다.","20세기 전반에 일어난 세계 질서의 변화를 체계적으로 설명할 수 있다.","20세기 전반에 일어난 세계 질서의 변화 사례를 말할 수 있다.","20세기 전반에 두 차례의 세계 대전이 일어났음을 말할 수 있다.","",""
"[9역06-02]","세계 대전 중의 전쟁 범죄를 탐구하고, 인권 회복과 평화 실현을 위한 노력을 조사한다.","세계 대전과 사회 변동","중학교","","","","세계 대전 중에 일어난 전쟁 범죄를 자료에 근거하여 비판적으로 평가하고, 인권 회복과 평화를 실현하기 위한 다양한 노력을 조사하여 체계적으로 설명할 수 있다.","세계 대전 중에 일어난 전쟁 범죄에 대한 자료를 분석하고, 인권 회복과 평화 실현을 위한 노력의 중요성을 인식할 수 있다.","세계 대전 중에 일어난 전쟁 범죄를 이해하고, 인권 회복과 평화 실현을 위한 노력이 나타난 자료를 수집할 수 있다.","세계 대전 중에 일어난 전쟁 범죄, 인권 회복과 평화 실현을 위한 노력의 사례를 말할 수 있다.","세계 대전 중 전쟁 범죄가 일어났고, 인권 회복과 평화 실현을 위한 노력이 있었음을 말할 수 있다.","",""
"[9역06-03]","아시아･ 아프리카 지역의 민족 운동을 이해하고, 그 특징을 비교한다.","세계 대전과 사회 변동","중학교","","","","아시아･아프리카 지역의 민족 운동을 민족주의와 사회주의의 세계적 확산과 관련하여 이해하고, 그 특징을 분석하여 비교할 수 있다.","아시아･아프리카 지역의 민족 운동을 이해하고, 그 특징을 자료에 근거하여 분석할 수 있다.","아시아･아프리카 지역에서 일어난 민족 운동을 체계적으로 설명할 수 있다.","아시아･아프리카 지역에서 일어난 민족 운동의 사례를 말할 수 있다.","아시아･아프리카 지역에서 민족 운동이 일어났음을 말할 수 있다.","",""
"[9역07-01]","냉전의 전개와 제3세계 등장의 상관관계를 이해하고, 냉전 이후 국제 질서의 변화를 분석한다.","현대 세계의 전개와 과제","중학교","","","","냉전의 전개와 제3세계 등장의 상관관계를 이해하고, 냉전 이후 국제 질서의 변화에 대한 자료를 수집하여 분석할 수 있다.","냉전의 전개와 제3세계 등장을 연결 지어 파악하고, 냉전 이후 국제 질서의 변화를 체계적으로 설명할 수 있다.","냉전의 전개와 제3세계 등장을 파악하고, 냉전 이후 국제 질서의 변화를 제시할 수 있다.","냉전이 전개되면서 나타난 국제 질서의 변화 사례를 말할 수 있다.","냉전이 전개되면서 국제 질서가 변화하였음을 말할 수 있다.","",""
"[9역07-02]","20세기 후반 민주주의와 인권의 신장을 위한 노력에 관심을 갖는다.","현대 세계의 전개와 과제","중학교","","","","20세기 후반 민주주의와 인권의 신장을 위한 노력의 의미를 자기 삶과의 연계성을 고려하여 파악하고, 제기되는 과제의 해결 방안을 모색할 수 있다.","20세기 후반 민주주의와 인권의 신장을 위한 노력의 의미를 이해하고, 제기되는 과제를 해결하려는 노력에 관심을 가질 수 있다.","20세기 후반 민주주의와 인권의 신장을 위한 노력의 의미를 체계적으로 설명할 수 있다.","20세기 후반 민주주의와 인권의 신장을 위한 노력의 사례를 말할 수 있다.","20세기 후반 민주주의와 인권의 신장을 위한 노력이 있었음을 말할 수 있다.","",""
"[9역07-03]","오늘날 세계화의 양상을 조사하고, 성과와 과제를 탐구한다.","현대 세계의 전개와 과제","중학교","","","","오늘날 세계화의 양상을 조사하고, 성과와 과제를 도출함으로써 문제 해결에 동참하는 자세를 가질 수 있다.","오늘날 세계화의 양상에 대한 자료를 수집하고, 이에 기반하여 성과와 과제를 제시할 수 있다.","오늘날 세계화의 확산에 따른 사회 변화를 체계적으로 설명할 수 있다.","오늘날 세계화의 확산에 따른 사회 변화의 사례를 말할 수 있다.","오늘날 세계화의 확산에 따라 사회에 변화가 일어났음을 말할 수 있다.","",""
"[9역08-01]","고조선과 여러 나라의 형성 과정 및 사회 모습을 탐구한다.","국가의 형성과 발전","중학교","","","","고조선과 여러 나라의 형성 과정 및 사회 모습을 자료의 분석 및 해석을 통해 역사적 맥락 속에서 추론할 수 있다.","고조선과 여러 나라의 형성 과정 및 사회 모습을 자료에 근거하여 분석할 수 있다.","고조선과 여러 나라의 형성 과정 및 사회 모습을 설명할 수 있다.","고조선과 여러 나라의 형성 과정을 말할 수 있다.","고조선 성립 이후 여러 나라가 형성되었음을 말할 수 있다.","",""
"[9역08-02]","삼국과 가야의 성장 과정을 파악한다.","국가의 형성과 발전","중학교","","","","삼국과 가야의 성장 과정에서 여러 세력의 다양성을 자료의 수집 및 분석을 통해 종합적으로 파악할 수 있다.","삼국과 가야의 성장 과정을 자료를 활용하여 분석할 수 있다.","삼국과 가야의 성장 과정을 체계적으로 설명할 수 있다.","삼국과 가야의 성장 과정에서 나타난 주요 사건을 말할 수 있다.","삼국과 가야가 성장하였음을 말할 수 있다.","",""
"[9역08-03]","삼국과 가야가 남긴 문화의 특징을 분석한다.","국가의 형성과 발전","중학교","","","","삼국과 가야가 남긴 문화의 특징을 교류의 관점에서 자료를 종합하여 맥락적으로 분석할 수 있다.","삼국과 가야가 남긴 문화의 특징을 자료에 기반하여 분석할 수 있다.","삼국과 가야가 남긴 문화의 특징을 체계적으로 설명할 수 있다.","삼국과 가야가 남긴 문화의 특징을 말할 수 있다.","삼국과 가야가 남긴 문화의 사례를 말할 수 있다.","",""
"[9역09-01]","삼국 통일의 과정을 동아시아 국제 정세의 맥락에서 이해하고, 통일신라와 발해 성립의 역사적 의의를 추론한다.","통일신라와 발해","중학교","","","","삼국 통일의 과정을 동아시아 국제 정세의 맥락에서 이해하고, 자료를 활용하여 통일신라와 발해 성립의 역사적 의의를 추론할 수 있다.","삼국 통일이 동아시아 국제 정세와 관련되어 있음을 파악하고, 통일신라와 발해 성립의 역사적 의의를 분석할 수 있다.","삼국 통일의 과정을 이해하고, 통일신라와 발해 성립의 역사적 의의를 파악할 수 있다.","삼국 통일의 과정에서 나타난 주요 사건 및 통일신라와 발해 성립의 역사적 의의를 말할 수 있다.","통일신라와 발해가 성립하였음을 말할 수 있다.","",""
"[9역09-02]","통일신라와 발해의 국가 체제 정비와 변동을 분석한다.","통일신라와 발해","중학교","","","","통일신라와 발해의 국가 체제 정비와 변동에 대한 자료를 역사적 맥락에서 종합적으로 비교･분석할 수 있다.","통일신라와 발해의 국가 체제 정비와 변동을 자료에 근거하여 분석할 수 있다.","통일신라와 발해의 국가 체제 정비의 내용을 체계적으로 설명할 수 있다.","통일신라와 발해의 국가 체제 정비의 내용을 말할 수 있다.","통일신라와 발해가 국가 체제를 정비하였음을 말할 수 있다.","",""
"[9역09-03]","통일신라와 발해 문화의 특징을 파악한다.","통일신라와 발해","중학교","","","","통일신라와 발해 문화의 특징을 국제적인 관점에서 자료를 수집하고 분석하여 파악할 수 있다.","통일신라와 발해 문화의 특징을 자료에 근거하여 분석할 수 있다.","통일신라와 발해 문화의 특징을 체계적으로 설명할 수 있다.","통일신라와 발해 문화의 특징을 말할 수 있다.","통일신라와 발해 문화의 사례를 말할 수 있다.","",""
"[9역10-01]","후삼국 통일과 체제 정비 과정을 통해 고려 성립의 역사적 의미를 탐색한다.","고려의 성립과 변천","중학교","","","","후삼국 통일과 체제 정비 과정에 대한 자료를 종합하여 고려 성립의 역사적 의미를 맥락적으로 추론할 수 있다.","후삼국 통일과 체제 정비 과정에 대한 자료를 분석하여 고려 성립의 역사적 의미를 체계적으로 설명할 수 있다.","후삼국 통일과 체제 정비 과정에서 나타난 고려 성립의 역사적 의미를 파악할 수 있다.","후삼국 통일 과정과 고려 체제 정비의 과정을 설명할 수 있다.","후삼국 통일 이후 고려가 체제를 정비하였음을 말할 수 있다.","",""
"[9역10-02]","고려의 정치적 변동을 파악하고 주변국과의 관계를 이해한다.","고려의 성립과 변천","중학교","","","","고려의 정치적 변동을 자료를 종합하여 파악하고 주변국과의 관계를 맥락적으로 이해할 수 있다.","고려의 정치적 변동과 주변국과의 관계를 연계하여 이해할 수 있다.","고려의 정치적 변동과 주변국과의 관계에서 나타난 주요 사건을 이해할 수 있다.","고려의 정치적 변동에서 나타난 주요 사건을 말할 수 있다.","고려에서 정치적 변동이 있었음을 말할 수 있다.","",""
"[9역10-03]","원 간섭기 고려 사회에 나타난 변화를 파악하고 개혁의 영향을 탐구한다.","고려의 성립과 변천","중학교","","","","원 간섭기 고려 사회에 나타난 변화를 파악하고 개혁의 영향을 자료를 활용하여 맥락적으로 추론하고 종합적으로 설명할 수 있다.","원 간섭기 고려 사회에 나타난 변화를 파악하고 자료를 통해 개혁의 영향을 분석할 수 있다.","원 간섭기 고려 사회에 나타난 변화를 파악하고 개혁의 영향을 설명할 수 있다.","원 간섭기 고려 사회에 나타난 변화와 개혁의 내용을 파악할 수 있다.","원 간섭기 고려 사회에 나타난 변화와 개혁의 내용을 말할 수 있다.","",""
"[9역10-04]","고려의 문화유산과 대외 교류의 사례를 조사하여 그 특징을 파악한다.","고려의 성립과 변천","중학교","","","","고려의 문화유산과 대외 교류의 다양한 사례를 조사하고 자료를 분석하여 그 특징을 종합적으로 파악할 수 있다.","고려의 문화유산과 대외 교류의 사례를 조사하여 그 특징을 설명할 수 있다.","고려의 문화유산과 대외 교류의 사례를 조사할 수 있다.","고려의 문화유산과 대외 교류의 사례를 말할 수 있다.","고려의 대표적인 문화유산의 사례를 말할 수 있다.","",""
"[9역11-01]","조선 성립의 의의를 통치 체제의 특징을 통해 파악한다.","조선의 성립과 발전","중학교","","","","조선의 성립 이후 정비된 통치 체제의 특징을 자료에서 분석하고, 이를 통해 조선 성립의 의의를 파악할 수 있다.","조선의 성립 이후 정비된 통치 체제의 특징을 자료를 통해 분석할 수 있다.","조선의 성립 이후 정비된 통치 체제의 내용과 그 사례를 조사할 수 있다.","조선의 성립 이후 정비된 통치 체제의 주요 내용을 말할 수 있다.","조선의 성립 이후 통치 체제가 정비되었음을 말할 수 있다.","",""
"[9역11-02]","사림 세력의 성장이 성리학적 질서 확산에 끼친 영향을 추론한다.","조선의 성립과 발전","중학교","","","","사림 세력의 성장을 자료를 통해 파악하고, 이것이 성리학적 질서의 확산에 어떤 영향을 끼쳤는지 추론할 수 있다.","사림 세력의 성장과 성리학적 질서의 확산에 대한 자료를 수집하고 해석할 수 있다.","사림 세력의 성장과 성리학적 질서의 확산으로 나타난 모습을 제시할 수 있다.","사림 세력의 성장이 성리학적 질서의 확산과 관련이 있음을 말할 수 있다.","사림 세력이 성장하였음을 말할 수 있다.","",""
"[9역11-03]","왜란과 호란의 성격을 동아시아 국제 정세 속에서 분석한다.","조선의 성립과 발전","중학교","","","","왜란과 호란의 전개 과정을 동아시아 국제 정세 속에서 파악하고, 자료를 통해 그 성격을 분석할 수 있다.","왜란과 호란의 전개 과정을 동아시아 국제 정세 속에서 설명할 수 있다.","왜란과 호란이 전개되는 과정에서 나타난 주요 사건을 제시할 수 있다.","동아시아 국제 정세 속에서 왜란과 호란이 발생하였음을 말할 수 있다.","왜란과 호란이 발생하였음을 말할 수 있다.","",""
"[9역12-01]","왜란과 호란 이후 체제 재정비의 노력과 정치 변동의 모습을 파악한다.","조선 사회의 변동","중학교","","","","왜란과 호란 이후 체제 재정비의 노력과 정치 변동의 모습을 자료를 통해 분석하고, 이를 조선 전기의 통치 체제와 비교하여 파악할 수 있다.","왜란과 호란 이후 체제 재정비의 노력과 정치 변동의 모습을 자료를 통해 분석할 수 있다.","왜란과 호란 이후 체제 재정비의 노력과 정치 변동에 관련된 내용과 그 사례를 조사할 수 있다.","왜란과 호란 이후 재정비된 통치 체제와 정치 변동에서 나타난 주요 내용을 말할 수 있다.","왜란과 호란 이후 체제 재정비의 노력과 정치 변동이 있었음을 말할 수 있다.","",""
"[9역12-02]","조선 후기 문화에서 나타난 변화를 분석한다.","조선 사회의 변동","중학교","","","","조선 후기 문화에서 나타난 변화 모습을 자료를 통해 분석할 수 있다.","조선 후기 문화에서 나타난 변화에 대한 자료를 분류할 수 있다.","조선 후기 문화에서 나타난 변화에 대한 자료를 수집할 수 있다.","조선 후기 문화에서 나타난 변화의 사례를 말할 수 있다.","조선 후기 문화에서 변화가 나타났음을 말할 수 있다.","",""
"[9역12-03]","조선 후기 사회적 모순에 대한 여러 세력의 대응을 탐구한다.","조선 사회의 변동","중학교","","","","조선 후기 사회적 모순에 대한 자료를 분석하고, 이를 통해 여러 세력의 대응이 어떤 배경에서 나타났는지 역사적으로 추론할 수 있다.","조선 후기 사회적 모순에 대한 여러 세력의 대응을 자료를 통해 분석할 수 있다.","조선 후기 사회적 모순 및 여러 세력의 대응 사례를 제시할 수 있다.","조선 후기 사회적 모순에 대해 여러 세력이 대응하였음을 말할 수 있다.","조선 후기에 사회적 모순이 나타났음을 말할 수 있다.","",""
"[9역13-01]","개항 이후 근대 국가를 건설하기 위한 노력을 파악한다.","근･현대 사회로의 전환","중학교","","","","개항 이후 근대 국가를 건설하기 위한 노력에 대한 자료를 분석하고, 이를 바탕으로 근대 국가 건설 과정을 파악할 수 있다.","개항 이후 근대 국가를 건설하기 위한 노력에 대한 자료를 분석할 수 있다.","개항 이후 근대 국가를 건설하기 위한 노력에 대한 자료를 조사할 수 있다.","개항 이후 근대 국가 건설 과정에서 나타난 주요 내용을 말할 수 있다.","개항 이후 근대 국가를 건설하기 위한 노력이 있었음을 말할 수 있다.","",""
"[9역13-02]","국권 피탈 이후 전개된 민족 운동을 세계사적 관점에서 이해한다.","근･현대 사회로의 전환","중학교","","","","국권 피탈 이후 전개된 민족 운동에 대한 자료를 분석하고 이를 세계사적 관점에서 이해할 수 있다.","국권 피탈 이후 전개된 민족 운동에 대한 자료를 조사하여 분석할 수 있다.","국권 피탈 이후 전개된 민족 운동을 시기별로 구분하여 나열할 수 있다.","국권 피탈 이후 전개된 민족 운동의 주요 내용을 말할 수 있다.","국권 피탈 이후 민족 운동을 전개하였음을 말할 수 있다.","",""
"[9역13-03]","한국의 민주화 과정에서 나타난 성과와 과제를 탐구한다.","근･현대 사회로의 전환","중학교","","","","한국의 민주화 과정에서 나타난 성과와 과제에 대한 자료를 분석하고, 다양한 시각에서 한국의 민주화를 평가할 수 있다.","한국의 민주화 과정에서 나타난 성과와 과제에 대한 자료를 수집하고 분석할 수 있다.","한국의 민주화 과정에서 나타난 성과와 과제에 대한 자료를 수집할 수 있다.","한국의 민주화 과정에서 나타난 주요 사건을 말할 수 있다.","한국에서 민주화를 위한 노력이 있었음을 말할 수 있다.","",""
"[9역13-04]","지속가능한 사회를 위한 과제를 역사적 맥락에서 탐구하고, 과제 해결에 참여하는 자세를 갖는다.","근･현대 사회로의 전환","중학교","","","","지속가능한 사회를 위한 과제를 역사적 맥락에서 탐구하고, 과제 해결에 참여하는 자세를 가질 수 있다.","지속가능한 사회를 위한 과제를 분석하고, 과제 해결에 참여하는 자세를 가질 수 있다.","지속가능한 사회를 위한 과제를 조사하고, 과제 해결에 관심을 가질 수 있다.","지속가능한 사회를 위한 과제를 말하고, 과제 해결에 관심을 가질 수 있다.","지속가능한 사회를 위한 과제가 있음을 알고, 과제 해결에 관심을 가질 수 있다.","",""
